Frankenstein,2025,7.7/10,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic cr... Read all"
A Mulher na Cabine 10,2025,5.8/10,A travel writer stumbles upon a gruesome secret while traveling aboard a luxury cruise ship.
A Longa Marcha - Caminhe ou Morra,2025,6.8/10,"A group of teenage boys compete in an annual contest known as ""The Long Walk,"" in which they must maintain a certain walking speed or get shot."
A Hora do Mal,2025,7.5/10,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance."
Uma Batalha Após a Outra,2025,8.2/10,"When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own."
Se Não Fosse Você,2025,6.2/10,"Centers on the strained relationship between young mother Morgan Grant and her teenage daughter Clara, exacerbated by Morgan's husband Chris's tragic death, that forces them to navigate life... Read all"
Casa de Dinamite,2025,6.4/10,"When a single, unattributed missile is launched at the United States, a race begins to determine who is responsible and how to respond."
Jurassic World: Recomeço,2025,5.9/10,"Five years post-Jurassic World: Domínio (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthr... Read all"
Balada de Um Jogador,2025,5.8/10,"When his past and his debts start to catch up with him, a high-stakes gambler laying low in Macau encounters a kindred spirit who might just hold the key to his salvation."
Bugonia,2025,7.7/10,"Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth."
Tron: Ares,2025,6.6/10,"A highly sophisticated program, Ares, is sent from the digital world into the real world on a dangerous mission."
O Telefone Preto 2,2025,6.3/10,"As Finn, now 17, struggles with life after his captivity, his sister begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a ... Read all"
Springsteen: Salve-me do Desconhecido,2025,6.9/10,"Bruce Springsteen's journey crafting his 1982 album Nebraska, which emerged as he recorded Born in the USA with the E Street Band. Based on Warren Zanes' book."
Pecadores,2025,7.6/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
Predador: Terras Selvagens,2025,7.6/10,A young Predator outcast from his clan finds an unlikely ally on his journey in search of the ultimate adversary.
Chainsaw Man - O Filme: Arco da Reze,2025,8.6/10,"Denji encounters a new romantic interest, Reze, who works at a coffee café."
Drácula: Uma História de Amor Eterno,2025,6.2/10,"When a 15th-century prince denounces God after the loss of his wife he inherits an eternal curse: he becomes Dracula. Condemned to wander the centuries, he defies fate and death, guided by a... Read all"
It: A Coisa,2017,7.3/10,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town... Read all"
Kantara: A Lenda de Shiva - Capítulo 1,2025,8.4/10,"Exploring the origins of Kaadubettu Shiva during the Kadamba dynasty era, it delves into the untamed wilderness and forgotten lore surrounding his past."
Abracadabra,1993,6.9/10,"A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century."
Éden,2024,6.5/10,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other."
Guerreiras do K-Pop,2025,7.6/10,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.
Bom Menino,2025,6.2/10,"A loyal dog moves to a rural family home with his owner, only to discover supernatural forces lurking in the shadows. As dark entities threaten his human companion, the brave pup must fight ... Read all"
